Date,Exercise,Category,Weight (lbs),Reps,Distance,Distance Unit,Time,Comment
2021-07-29,Torso Rotation,Abs,100.0,10,,,,""
2021-07-29,Torso Rotation,Abs,100.0,10,,,,""
2021-07-29,Torso Rotation,Abs,100.0,10,,,,""
2021-07-29,Torso Rotation,Abs,100.0,10,,,,""
2021-07-29,Torso Rotation,Abs,100.0,10,,,,""
2021-07-29,Torso Rotation,Abs,100.0,10,,,,""
2021-07-29,Barbell Curl,Biceps,15.0,20,,,,""
2021-07-29,Barbell Curl,Biceps,15.0,10,,,,""
2021-08-02,Hammer Strength Row,Back,80.0,10,,,,""
2021-08-02,Hammer Strength Row,Back,80.0,10,,,,""
2021-08-02,Hammer Strength Row,Back,80.0,10,,,,""
2021-08-02,Hammer Strength Chest Press,Chest,60.0,10,,,,""
2021-08-02,Hammer Strength Chest Press,Chest,60.0,10,,,,""
2021-08-02,Hammer Strength Chest Press,Chest,60.0,10,,,,""
2021-08-02,Hammer Strength Chest Press,Chest,60.0,10,,,,""
2021-08-02,Hammer Strength Chest Press,Chest,60.0,8,,,,""
2021-08-02,Hammer Strength Row,Back,80.0,10,,,,""
2021-08-02,Hammer Strength Row,Back,80.0,10,,,,""
2021-08-02,Hammer Strength Row,Back,80.0,10,,,,""
2021-08-02,Hammer Strength Row,Back,80.0,10,,,,""
2021-08-02,Back Extension,Back,85.0,10,,,,""
2021-08-02,Back Extension,Back,85.0,10,,,,""
2021-08-02,Row,Back,55.0,10,,,,""
2021-08-02,Row,Back,55.0,10,,,,""
2021-08-02,Row,Back,55.0,10,,,,""
2021-08-02,Row,Back,55.0,10,,,,""
2021-08-02,Pectoral Fly,Chest,70.0,10,,,,""
2021-08-02,Pectoral Fly,Chest,70.0,10,,,,""
2021-08-02,Lat Pulldown,Back,85.0,10,,,,""
2021-08-02,Lat Pulldown,Back,70.0,10,,,,""
2021-08-02,Lat Pulldown,Back,70.0,10,,,,""
2021-08-02,Lat Pulldown,Back,70.0,10,,,,""
2021-08-02,Lat Pulldown,Back,70.0,10,,,,""
2021-08-02,Hammer Strength Abdominal Crunch,Abs,50.0,10,,,,""
2021-08-02,Hammer Strength Abdominal Crunch,Abs,50.0,10,,,,""
2021-08-02,Hammer Strength Abdominal Crunch,Abs,50.0,10,,,,""
2021-08-02,Hammer Strength Abdominal Crunch,Abs,50.0,10,,,,""
2021-08-02,Barbell Curl,Biceps,15.0,50,,,,""
2021-08-02,Back Extension,Back,70.0,10,,,,""
2021-08-02,Back Extension,Back,70.0,10,,,,""
2021-08-02,Back Extension,Back,70.0,10,,,,""
2021-08-02,Back Extension,Back,70.0,10,,,,""
2021-08-02,Lat Pulldown,Back,70.0,10,,,,""
2021-08-02,Lat Pulldown,Back,70.0,10,,,,""
2021-08-02,Lat Pulldown,Back,70.0,10,,,,""
